MemberId,TotalLobbiesOpened,TotalPlayerCount,TotalDataUsageMB,TotalPlayTimeMinutes,AvgPlayTimeMinutes,DaysActive,UniqueIPs,AvgLobbiesPerDay,AvgPlayersPerDay,AvgDataPerDayMB
mem_cm6jpxvy800cf0srx0t285p8pbf7,180354,8536,13.8623,203943.45,16.21,30,4,6011.80,284.53,0.4621
mem_cm7qgvdrj04lm0rn3fy6y24sk7e2,82025,23194,316.4401,57866.95,0.32,30,4,2734.17,773.13,10.5480
mem_clya9xt451b6o0ss3hx0pf0fffc5,749,53,2.1636,2202.98,1.30,30,4,24.97,1.77,0.0721
mem_cmkld9olt1zrw0ssobfwb2jh70a0,554,12,0.3330,42.23,0.03,10,4,55.40,1.20,0.0333
mem_cmdj1hjey00c20wnk1g5a4lti8dc,471,61,2.8581,-15345.18,-14.00,30,4,15.70,2.03,0.0953
mem_cmkqbvl0o3h9q0ssa5up31z1c1ad,312,14,0.0319,-243.83,-0.38,7,4,44.57,2.00,0.0046
mem_clxnvgj2f05ho0sp259ibh87j699,278,159,0.0615,-982.02,-1.55,30,4,9.27,5.30,0.0021
mem_cmhbj1auy02lr0rr8453jem2od9d,267,19,0.0751,94.38,0.15,30,4,8.90,0.63,0.0025
mem_cmk8e9h6y18qs0sntdocb8xzxda0,239,6,0.0239,13.97,0.03,19,4,12.58,0.32,0.0013
mem_cmjxp19pl09ie0smt6oh7a98g835,228,16,0.1301,13.90,0.03,27,4,8.44,0.59,0.0048
mem_cmkl37xfc23d50sr6gy4ed16uf58,212,13,0.0188,14330.88,26.54,10,4,21.20,1.30,0.0019
mem_cm5vhno5h16580sowbogz4nqn26d,209,10,0.0222,7.33,0.03,30,4,6.97,0.33,0.0007
mem_cmfq2l1p7006c0xps0wv80uyac53,198,20,0.3613,250.83,0.86,30,4,6.60,0.67,0.0120
mem_cmksf2i5o3qmi0sso4qgf82kde6b,198,11,0.0010,7714.88,17.69,5,4,39.60,2.20,0.0002
mem_cmksyd5pt3zlt0sqj5wwy6p77454,183,8,0.0003,10.47,0.06,5,4,36.60,1.60,0.0001
mem_cmeegbjhx00dk0woi35ht8ivy37d,180,15,0.0273,4615.38,21.37,30,4,6.00,0.50,0.0009
mem_cmhmo6fkq063f0srfdgss7dy45b5,180,17,0.0342,-78.02,-0.42,30,4,6.00,0.57,0.0011
mem_cmgzn7r6t00050sodh2xkb19147f,177,393,2.0071,63.97,0.10,30,4,5.90,13.10,0.0669
mem_cmjor0yrv0jnx0spu1v6m8hbkbe2,171,16,0.2486,9.10,0.03,30,4,5.70,0.53,0.0083
mem_cmiruthdb0pw60sofe1tpcymg12d,148,32,0.0044,-6587.42,-23.36,30,4,4.93,1.07,0.0001
mem_cmjqok9v50ru80sr0go6lbngr0e0,145,31,0.0231,88.17,0.19,30,4,4.83,1.03,0.0008
mem_cmh72b0yt03400smt264m58jf474,135,10,0.0019,4.53,0.02,30,4,4.50,0.33,0.0001
mem_cma46cxti016p0wqm33pygbpm0e5,129,36,11.8852,-1094.07,-4.70,30,4,4.30,1.20,0.3962
mem_cmjw5fh0f0e4r0sr02s4yevx2aac,124,16,0.0005,-1009.62,-4.26,28,4,4.43,0.57,0.0000
mem_cmikoqy1m2e1z0sk527evgn25e42,119,12,0.1055,-3297.57,-14.46,30,4,3.97,0.40,0.0035
mem_cmjtnwi3h1cf30spu3r4ebx6i494,116,4,0.1236,16.00,0.07,29,4,4.00,0.14,0.0043
mem_cmika5gbc2bxg0ros3y092fmqa58,111,9,0.0047,1102.98,9.76,30,4,3.70,0.30,0.0002
mem_cmf0oul3u00470yo9egouekygf24,106,44,0.0016,6786.28,20.26,30,4,3.53,1.47,0.0001
mem_cm4u65j1w0f0a0tul743i4mne2ed,105,24,0.5991,6.75,0.06,30,4,3.50,0.80,0.0200
mem_cmkg4vplc183d0sr6eu7x3q13cf5,105,12,0.5800,2122.73,10.61,14,4,7.50,0.86,0.0414
mem_cmkqjz9xm3j7r0sqjgg567upa756,93,8,0.0936,1106.20,4.55,6,4,15.50,1.33,0.0156
mem_clzjoqz610lg10sqz3gp8fefpfe3,88,5,0.5388,4409.87,16.27,30,3,2.93,0.17,0.0180
mem_cmbxre3qt00b20wq33vjob74yb3f,81,10,0.0766,3.12,0.02,22,4,3.68,0.45,0.0035
mem_cmhb3ng2d014n0slj29rp45n3c23,81,14,0.0214,-2195.05,-14.63,30,4,2.70,0.47,0.0007
mem_clqwlca070f2z0ts41g6vgj50df5,74,30,0.7944,7716.63,33.26,28,4,2.64,1.07,0.0284
mem_cme5571ua00090wnoe0xlcx5if60,67,58,0.1344,-4286.18,-7.53,30,4,2.23,1.93,0.0045
mem_cmbxre3qt00b20wq33vjob74y1a6,67,5,0.0149,2203.58,20.79,8,4,8.38,0.62,0.0019
mem_cmjdonhoh02sc0uo231mi1j6pd07,65,8,0.0292,-2284.13,-20.58,30,4,2.17,0.27,0.0010
mem_cmjiqzqq1089b0so2d3ru0t1r2a8,63,6,0.0180,-3385.57,-28.94,30,4,2.10,0.20,0.0006
mem_cmg0b3gbj05020wnd0ii8c858c9f,58,7,0.0055,95.90,0.85,30,4,1.93,0.23,0.0002
mem_cmfz2s3ek00040wok08l2f0xf9fc,56,35,7.8076,-1089.58,-5.37,30,4,1.87,1.17,0.2603
mem_cmjviq33e06ui0spa7jyp2qh4773,44,3,0.0987,5.95,0.04,3,4,14.67,1.00,0.0329
mem_cmicbtv770nt60sk515u97sfhe1d,35,19,0.0808,-5500.57,-71.44,30,4,1.17,0.63,0.0027
mem_cmi5rqsw90zwe0ssd90sl8d2u8e2,33,8,0.2911,-8803.22,-73.36,30,4,1.10,0.27,0.0097
mem_cmk70o18v0yiq0snt4x89g0bjc95,29,1,0.0001,1.03,0.02,20,4,1.45,0.05,0.0000
mem_cmkkvuwnn21ua0sr6fkmic2d280a,28,2,0.0040,9.25,0.17,10,4,2.80,0.20,0.0004
mem_cmkrmdms23szb0sr68ym625uqb6d,28,4,0.0001,3.03,0.06,5,4,5.60,0.80,0.0000
mem_clow1dn8p071h0so6bw7o2cple74,27,11,0.0934,1103.45,18.39,30,4,0.90,0.37,0.0031
mem_cmecnkgma00190xkignn2en06d82,27,7,0.0066,0.70,0.02,30,4,0.90,0.23,0.0002
mem_cmhxxyonl1aan0ss443bn4m2kf12,27,9,0.0016,-2199.92,-37.93,30,4,0.90,0.30,0.0001
mem_cmeegbjhx00dk0woi35ht8ivy401,27,3,0.0058,-3301.42,-58.95,4,4,6.75,0.75,0.0015
mem_cmksu3mzq3zq60sr6grbq8taq71e,25,1,0.0228,1.03,0.02,5,4,5.00,0.20,0.0046
mem_cmilryjsk2kj50soy6on8b5rrf39,19,5,0.0067,0.67,0.02,30,4,0.63,0.17,0.0002
mem_cmk2g39511kwi0snm9rqf07fn9fc,18,11,0.0003,-1097.67,-12.06,23,4,0.78,0.48,0.0000
mem_cmgi9m3xb03pe0rsb4js09hxkf64,17,4,0.0002,1101.73,25.62,30,4,0.57,0.13,0.0000
mem_cmi58rfyc0w4z0ssd5zxcg6m6b3e,16,4,0.0004,-84.50,-2.11,30,4,0.53,0.13,0.0000
mem_cltdr4r4w00tr0tnr85oe5q6p908,12,2,0.0004,0.95,0.04,30,4,0.40,0.07,0.0000
mem_cm9b4vjzm01200xre2yxz4obdefa,12,6,0.4762,2.67,0.24,30,4,0.40,0.20,0.0159
mem_cmae6do18030x0wndfqz8eyvz879,12,5,0.0018,3048.12,72.57,30,4,0.40,0.17,0.0001
mem_cmhb5fc7401fj0speeauyclpjb0d,12,4,0.0007,0.70,0.03,30,4,0.40,0.13,0.0000
mem_cmeqd5pgt00gi0wrw8dgmdlti0b3,9,10,0.0049,-1099.67,-43.99,30,4,0.30,0.33,0.0002
mem_cmkis3df51q6a0stqcg4x5w9zd2c,9,2,0.0000,0.45,0.05,12,4,0.75,0.17,0.0000
mem_cmkpv4xmh3d560ssadkln6k0nc11,9,2,0.0000,0.27,0.02,7,4,1.29,0.29,0.0000
mem_cm5va0j0s0b130soucojj814bfa4,8,7,0.0200,0.42,0.03,30,4,0.27,0.23,0.0007
mem_cm9nccpoy016d0wq77mwmdlvk0e4,8,15,0.0032,-2197.97,-115.68,30,4,0.27,0.50,0.0001
mem_cmdhw726d02w10woq458535xpa90,8,1,0.0061,0.40,0.02,30,4,0.27,0.03,0.0002
mem_cmjwmvulm0m5i0spa6pwocddzadf,8,5,0.0009,-1100.32,-57.91,27,4,0.30,0.19,0.0000
mem_cmjviq33e06ui0spa7jyp2qh47bd,8,4,0.0000,0.33,0.03,25,4,0.32,0.16,0.0000
mem_cmjvh15xt06d40sppdfs02zm58e7,7,2,0.0000,1.27,0.05,28,4,0.25,0.07,0.0000
mem_cmcfau052000f0wlw13sbhdah047,6,2,0.0000,0.15,0.02,30,4,0.20,0.07,0.0000
mem_cmb3e816a012e0wnqhbfq8ywcc67,5,7,0.0108,-3301.57,-330.16,30,4,0.17,0.23,0.0004
mem_cmdgao64o009t0wos6dvrcda2c83,4,7,0.0038,1102.88,29.81,30,4,0.13,0.23,0.0001
mem_cmie5edz614qz0sk5a55gf1t49b7,4,3,0.0001,86.35,28.78,30,4,0.13,0.10,0.0000
mem_cmjmy4duz0b8w0srxbpc939p856c,4,21,0.2254,1107.92,4.36,30,4,0.13,0.70,0.0075
mem_cmk09iwbh0xym0snmdmhegtyr192,4,2,0.0000,0.23,0.02,25,4,0.16,0.08,0.0000
mem_clym1s2ti00dc0su5h2qj6mdc266,3,2,0.0048,1.00,0.25,30,4,0.10,0.07,0.0002
mem_cmjg8lvge02d60tsr5foddzsm883,3,1,0.0024,0.22,0.02,30,4,0.10,0.03,0.0001
mem_clrbqwax311c10sr6d9nj1fxs70d,2,3,0.0016,1.93,0.24,30,4,0.07,0.10,0.0001
mem_cmbljqm220a2t0xud6aa284j8051,2,1,0.0026,0.13,0.03,30,4,0.07,0.03,0.0001
mem_cmcdkgku400bg0woj3q9yapjb5dc,2,4,0.0000,0.18,0.02,30,4,0.07,0.13,0.0000
mem_cmfpgvp0c004n0wqb642cc0auf71,2,2,0.0018,0.07,0.02,30,4,0.07,0.07,0.0001
mem_cmgdobbgu00190trw5pi0gzoy147,2,4,0.0013,0.08,0.02,30,4,0.07,0.13,0.0000
mem_cmhahnmyq00zy0sll9ra87b1m9c4,2,2,0.0012,0.10,0.03,30,4,0.07,0.07,0.0000
mem_cmhe1nj5a007h0slbdrs2eur9c7d,2,1,0.0000,0.05,0.05,30,4,0.07,0.03,0.0000
mem_cmig0ak4d1ks70sog1xme1ra3fae,2,2,0.0002,0.05,0.03,30,4,0.07,0.07,0.0000
mem_cmksjsi4d3rh20sso1rr50skce7a,2,1,0.0000,0.17,0.06,5,4,0.40,0.20,0.0000
mem_clqwlca070f2z0ts41g6vgj50692,1,1,0.0019,0.10,0.03,2,4,0.50,0.50,0.0010
mem_clu2mmuha0ml80slp8mi46att59a,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cluivaz5e00ro0soy4a224vsn6bc,1,1,0.0000,0.05,0.05,30,4,0.03,0.03,0.0000
mem_cm5pfdvuh0wxp0sq5e6dn29hv771,1,47,0.0093,17.62,0.23,30,4,0.03,1.57,0.0003
mem_cm7xtcp8y003j0sq0he6z1cwm17d,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cm8fncwr507la0wrq2hig4qsaf9b,1,1,0.0000,0.03,0.03,30,4,0.03,0.03,0.0000
mem_cmals5uoj151c0wpm65dc9j5z05c,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cmbv9u44r00sa0wqj6abcfpzs8b6,1,1,0.0001,0.03,0.02,30,4,0.03,0.03,0.0000
mem_cmd4nljaf001o0vpi8dmqg1p8f1f,1,2,0.0043,1101.15,275.29,30,4,0.03,0.07,0.0001
mem_cmdqsadoy00cu0wlq4oldha2h177,1,1,0.0004,0.07,0.03,30,4,0.03,0.03,0.0000
mem_cme31um7701fy0wk56wde2m9u0f2,1,2,0.0101,0.12,0.04,30,4,0.03,0.07,0.0003
mem_cmfwhtdea00120wo53mogcfw8983,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cmg9uevpi00in0sq6h1s79hzmaf6,1,1,0.0000,0.05,0.05,30,4,0.03,0.03,0.0000
mem_cmh97rq9j01p90smxbwxn3kpw513,1,1,0.0025,0.07,0.07,30,4,0.03,0.03,0.0001
mem_cmicevc5k0oo00ros63wk8u79ad7,1,1,0.0001,0.52,0.10,30,4,0.03,0.03,0.0000
mem_cmkjmf0y81tzw0sqj90ly4mnw2ba,1,2,0.0000,0.05,0.02,11,4,0.09,0.18,0.0000
mem_clo6ur64q00xw0s171wa1feklebf,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clobipfhe044e0syib95bc6r4350,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clotacf6p0bsj0to6hraldry25da,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clow1dn8p071h0so6bw7o2cpl146,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clow1j7xq072f0so6bxby2bqhadc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cloykzhwc0h5f0specgh3gmns923,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clp0iacmn0gbd0sm7gp7i07r9bd3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clp2skq6402xm0su26mwdazspb43,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clp45eiwb0bh70su2agp53doc75f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpagv9q4039s0sou5k6s8hdib7a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpalbt3100i10rpn551qdekob18,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpbpjxir092p0snrclbd60s5aea,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpbs87o709ky0snr59s9hsplde9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpfftpzn0cbq0rp4ak0p3qha950,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clplymrud00o20ss69sxgbfjn8b3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpmqj997038b0ss66hq35ccw887,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpobkswo05vj0tt96h6v8ocy6b1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpowzv4w09fu0stzc066229pc3b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpphln440bk10stz390a4fln9d1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpri230i0puo0rudg8vz8l417fd,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clps4t9ev036h0rqf7j074so85ef,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpse923l05hf0rqf269c55t749e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpucw5it0m940rsbbf4fbdfr265,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpunruf90ne60rsbd8uhdh4j421,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpw5xatw03bx0sqv3fpv7h2a49d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq12dnfg0xbg0sqv1f7k1t8we30,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq14p2uz0dp80sp05cdm40lp766,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq56hebz0kh60sri10rh4b8q56a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq778x2h0d9o0sqw7cyz9ebs6d1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq80uph70gsh0spcbnbm4e86916,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq89573a0il90snk45h56bzjea4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqa496hr0sit0snk0o3n3iba973,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqcab7ym08cg0rpc1vfx2s7mafa,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqdcbko00gtf0sqw7ya171h6a23,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqfg5gtf063l0skfcxl0gojqd5e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqhagbll010i0ts73nw4hcdha92,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqie5c5a070b0ts7e6i30a9i538,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqivdlzq02dl0spre1ac91kb8bc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqj1mj7f02zq0spr0wpod1zq06f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqkfwyf4034y0st89wirbnote7b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqrvkh8e0qtk0tr27vm3brfkdbf,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqts63fq04sf0srv8xgo91ez7ab,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr0gxaw30mqw0ss11d1savez476,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr2ei80808l90ss2203n7z4298a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr3zby3s1hzb0ss1eofn4xeq7c3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr4zsjjj1op10sq7f601bweoaef,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr7m0e6008210ssp88ri3rtl412,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clre9jksw0i9y0so5fpor2536e50,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrg9zgbn11ss0sry9vw52qno9fc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrgk58x3007v0spxdnt9cd2109f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrhytvmt019k0soyachh4b483d4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clri19zn800q40tsd9bqu2yx82c4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrjqajqw04xm0srsbczqb18r6ac,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrplgvxc05kr0rqadormatpaf25,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrz2kmhx0qq10ssy7rb4cj7d06c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls43ocxm0qt40rpx26lj1t8o716,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls5ti2c41asx0rpxhy34btjt93a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls6qvgrv02n30tsl39edbjoc44e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls8dhexo0m100tsl0ousfamk353,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls9u26y301pd0tv5hc75fe4g2ec,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsa9re5x07eo0stegu0vaddc6e4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsc3x48s0ybv0sssd0vc1dtb9f6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsd8iqz404p90treb2s59z6p44b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsdxja7p00300sswdywz4tg83b1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsew62y701h80sul5qdy1r2gcb4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsfvni3g008i0sls5mvvgr2abd1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsfwwyhq00550tpacfau988oc2d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsik2blr017e0spa8q252ajq168,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsjcoohs06zk0spa6u1fb8yhea4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsjy23pn07d20ss0b085ajhi84f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clski2cr20c5a0sr264r18qvw621,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsm86h2301su0tny7y6odiwyf27,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clso92l8100o40soja7l3a96r376,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsoxwt7o05y40soj1h1jcv6ga30,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsp3tsmv07p20sp0ayt9aocg5bf,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsquh1d9026d0soj1nxo9vkkc72,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clst2wsx30i5b0tp06jdf9m0bcd6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clstgs7c600l50sql53ue6jgg2c9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clstz1a5104bj0spafior4fpyf84,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clswpwr580rxr0srqcw6e1v2zb1f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsxchw4n00640rlf9i1ubxy4aa8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsxl060704eg0sphfboyfdjg119,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsz9yxas0cyr0sph44n33pztde1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt0fsv3z02cr0so79web0aqie96,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt0innkc010u0so76cldf87mae7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt213s3b07vn0snb6564hykz1ba,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt52pms106w60rprdwph5iqa569,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt5zdupo0gyg0rpr547m7o56584,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt6jtcxl008y0smjh403a35h14f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt8dn5gl00be0srqfhc11mfh418,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt96pqds0o5m0rr38li336czeab,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt99spsj001d0rrqbzel2hck7a2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltabua8g00me0ssm25o5bq69918,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltblmcc20cf70sr37ar5bexs93e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltbrqcp800w10ssm6hkibc7z63c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltbxgoce04a00sr344s89nbf039,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltdtd3sv00gz0spkh32a7oi67b0,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltihsbi401qj0tlxatmten64483,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltis437b08jh0sotcwkm4sx09d7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
